terpidana	O
mati	O
asal	O
Filipina	U-LOCATION
,	O
Mary	B-PERSON
Jane	I-PERSON
Fiesta	I-PERSON
Veloso	L-PERSON
,	O
juga	O
telah	O
mengajukan	O
langkah	O
serupa	O
.	O

"	O
Ini	O
membuat	O
segala	O
macam	O
ekses	O
terjadi	O
.	O
Pemerintah	O
harusnya	O
bisa	O
mengambil	O
sikap	O
dengan	O
cepat	O
,	O
"	O
ucap	O
politisi	O
Partai	B-ORGANIZATION
Gerindra	L-ORGANIZATION
itu	O
.	O

Selain	O
perlawanan	O
dari	O
terpidana	O
,	O
menurut	O
Fadli	U-PERSON
,	O
Indonesia	U-LOCATION
juga	O
akan	O
terus	O
mendapatkan	O
tekanan	O
dari	O
dunia	O
internasional	O
jika	O
eksekusi	O
mati	O
terus	O
ditunda	O
.	O

Situasi	O
ini	O
,	O
menurut	O
dia	O
,	O
dapat	O
mengganggu	O
kerja	O
sama	O
yang	O
selama	O
ini	O
dijalin	O
dengan	O
negara	O
lainnya	O
.	O

"	O
Kita	O
melihat	O
negara	O
yang	O
selama	O
ini	O
bersahabat	O
,	O
sekarang	O
negara	O
internasional	O
semakin	O
memojokkan	O
kita	O
,	O
"	O
ucap	O
Fadli	U-PERSON
.	O

Kantor	B-ORGANIZATION
Wilayah	I-ORGANIZATION
Kementerian	I-ORGANIZATION
Hukum	I-ORGANIZATION
dan	I-ORGANIZATION
Hak	I-ORGANIZATION
Asasi	I-ORGANIZATION
Manusia	L-ORGANIZATION
sebelumnya	O
menyatakan	O
persiapan	O
di	O
Pulau	B-LOCATION
Nusakambangan	I-LOCATION
,	I-LOCATION
Cilacap	L-LOCATION
,	O
sebagai	O
tempat	O
eksekusi	O
para	O
terpidana	O
mati	O
telah	O
mencapai	O
100	B-QUANTITY
persen	L-QUANTITY
.	O

Namun	O
,	O
hingga	O
saat	O
ini	O
belum	O
ada	O
keputusan	O
mengenai	O
waktu	O
eksekusi	O
mati	O
.	O

Kejaksaan	O
Agung	O
beberapa	O
waktu	O
lalu	O
merilis	O
10	B-QUANTITY
nama	L-QUANTITY
terpidana	O
mati	O
kasus	O
narkoba	O
yang	O
akan	O
dieksekusi	O
,	O
yakni	O
Andrew	B-PERSON
Chan	L-PERSON
(	O
warga	O
negara	O
Australia	U-LOCATION
)	O
,	O
Myuran	B-PERSON
Sukumaran	L-PERSON
(	O
Australia	U-LOCATION
)	O
,	O
Raheem	B-PERSON
Agbaje	I-PERSON
Salami	L-PERSON
(	O
Nigeria	U-LOCATION
)	O
,	O
Zainal	B-PERSON
Abidin	L-PERSON
(	O
Indonesia	U-LOCATION
)	O
,	O
Serge	B-PERSON
Areski	I-PERSON
Atlaoui	L-PERSON
(	O
Perancis	U-LOCATION
)	O
,	O
Rodrigo	B-PERSON
Gularte	L-PERSON
(	O
Brasil	U-LOCATION
)	O
,	O
Silvester	B-PERSON
Obiekwe	I-PERSON
Nwaolise	L-PERSON
alias	O
Mustofa(Nigeria	O
)	O
,	O
Martin	O
Anderson	O
alias	O
Belo	O
(	O
Ghana	O
)	O
,	O
Okwudili	O
Oyatanze	O
(	O
Nigeria	O
)	O
,	O
dan	O
Mary	O
Jane	O
Fiesta	O
Veloso	O
(	O
Filipina	O
)	O
.	O

Partai	B-ORGANIZATION
Golkar	L-ORGANIZATION
menerima	O
kekalahan	O
pasangan	O
Irianto	B-PERSON
MS	I-PERSON
Syaifuddin	I-PERSON
-	I-PERSON
Tatang	I-PERSON
Farhanul	I-PERSON
Hakim	I-PERSON
(	I-PERSON
Irianto	I-PERSON
-	I-PERSON
Tatang	I-PERSON
)	L-PERSON
dalam	O
Pemilu	O
Gubernur	O
dan	O
Wakil	O
Gubernur	O
Jawa	B-LOCATION
Barat	L-LOCATION
.	O

Berdasarkan	O
hasil	O
hitung	O
cepat	O
,	O
pasangan	O
tersebut	O
hanya	O
berada	O
di	O
urutan	O
keempat	O
dari	O
lima	O
pasangan	O
.	O

"	O
Golkar	U-ORGANIZATION
menerima	O
kekalahan	O
ini	O
dengan	O
legowo	O
.	O
Tentunya	O
selalu	O
ada	O
yang	O
kalah	O
dan	O
menang	O
dalam	O
pesta	O
demokrasi	O
,	O
"	O
kata	O
Wakil	O
Sekretaris	O
Jenderal	O
DPP	O
Partai	B-ORGANIZATION
Golkar	L-ORGANIZATION
Nurul	B-PERSON
Arifin	L-PERSON
di	O
Jakarta	U-LOCATION
,	O
Senin	B-TIME
(	I-TIME
25	I-TIME
/	I-TIME
2	I-TIME
/	I-TIME
2013	I-TIME
)	L-TIME
.	O

Seperti	O
diberitakan	O
,	O
hitung	O
cepat	O
Penelitian	B-ORGANIZATION
dan	I-ORGANIZATION
Pengembangan	I-ORGANIZATION
(	I-ORGANIZATION
Litbang	I-ORGANIZATION
)	I-ORGANIZATION
Kompas	L-ORGANIZATION
menyebutkan	O
pasangan	O
Irianto	B-ORGANIZATION
-	I-ORGANIZATION
Tatang	L-ORGANIZATION
hanya	O
mendapat	O
12,35	B-QUANTITY
persen	L-QUANTITY
suara	O
.	O

Di	O
urutan	O
pertama	O
,	O
yakni	O
pasangan	O
Ahmad	B-PERSON
Heryawan	I-PERSON
-	I-PERSON
Deddy	I-PERSON
Mizwar	I-PERSON
(	I-PERSON
Heryawan	I-PERSON
-	I-PERSON
Deddy	I-PERSON
)	L-PERSON
meraih	O
suara	O
31,45	B-QUANTITY
persen	L-QUANTITY
,	O
disusul	O
pasangan	O
Rieke	B-PERSON
Diah	I-PERSON
Pitaloka	I-PERSON
-	I-PERSON
Teten	I-PERSON
Masduki	I-PERSON
(	I-PERSON
Rieke	I-PERSON
-	I-PERSON
Teten	I-PERSON
)	L-PERSON
sebanyak	O
29,03	B-QUANTITY
persen	L-QUANTITY
,	O
Dede	B-PERSON
Yusuf	I-PERSON
Macan	I-PERSON
Efendi	I-PERSON
-	I-PERSON
Lex	I-PERSON
Laksamana	L-PERSON
28,85	B-QUANTITY
persen	L-QUANTITY
suara	O
.	O

Paling	O
bawah	O
,	O
pasangan	O
Dikdik	B-PERSON
M	I-PERSON
Arief	I-PERSON
Mansur	I-PERSON
-	I-PERSON
Cecep	I-PERSON
Nana	I-PERSON
Suryana	I-PERSON
Toyib	I-PERSON
(	I-PERSON
Dikdik	I-PERSON
-	I-PERSON
Toyib	I-PERSON
)	L-PERSON
1,72	B-QUANTITY
persen	L-QUANTITY
.	O

Nurul	U-PERSON
mengatakan	O
,	O
pihaknya	O
sudah	O
berupaya	O
mengusung	O
calon	O
terbaik	O
.	O

Selain	O
itu	O
,	O
kata	O
dia	O
,	O
mesin	O
partai	O
juga	O
sudah	O
bekerja	O
optimal	O
.	O

Hanya	O
saja	O
,	O
pilihan	O
tetap	O
ada	O
di	O
tangan	O
rakyat	O
Jabar	U-LOCATION
.	O

"	O
Golkar	U-ORGANIZATION
mengucapkan	O
selamat	O
kepada	O
pasangan	O
terpilih	O
.	O
Semoga	O
dapat	O
menjalankan	O
amanah	O
rakyat	O
tanpa	O
menyingkirkan	O
kelompok	O
minoritas	O
yang	O
ada	O
di	O
Jabar	O
,	O
"	O
kata	O
Nurul	U-PERSON
.	O

Nurul	U-PERSON
meyakinkan	O
,	O
akan	O
mengobati	O
kekalahan	O
di	O
Jabar	O
pada	O
pemilu	O
legislatif	O
2014	O
.	O

Pileg	O
,	O
kata	O
Nurul	O
lagi	O
,	O
tak	O
bisa	O
disamakan	O
dengan	O
Pilgub	O
.	O

Dalam	O
Pileg	O
,	O
semua	O
partai	O
dan	O
caleg	O
turun	O
bersama-sama	O
.	O

"	O
Pasti	O
lebih	O
kompetitif	O
.	O
Dalam	O
survei	O
-	O
survei	O
Golkar	U-ORGANIZATION
selalu	O
memimpin	O
.	O
Jadi	O
,	O
kami	O
optimis	O
dapat	O
memenangkan	O
pertarungan	O
di	O
Pileg	O
2014	O
,	O
"	O
Nurul	U-PERSON
menegaskan	O
.	O

Menkokesra	B-PERSON
Agung	I-PERSON
Laksono	L-PERSON
yang	O
berasal	O
dari	O
Partai	B-ORGANIZATION
Golkar	L-ORGANIZATION
menegaskan	O
semua	O
Menteri	O
dari	O
Golkar	U-ORGANIZATION
sudah	O
menyampaikan	O
kepada	O
Ketua	O
Umumnya	O
bahwa	O
mereka	O
tidak	O
bisa	O
berkampanye	O
di	O
hari	O
kerja	O
.	O

Sejak	O
awal	O
,	O
kata	O
Agung	U-PERSON
,	O
Menteri	O
berasal	O
dari	O
Golkar	U-ORGANIZATION
sudah	O
mengungkapkan	O
hal	O
itu	O
kepada	O
Aburizal	B-PERSON
Bakrie	L-PERSON
.	O

"	O
Sudah	O
ada	O
dari	O
awal	O
sudah	O
kami	O
sampaikan	O
pada	O
ketum	O
bahwa	O
sejak	O
awal	O
kita	O
nggak	O
mungkin	O
lagi	O
berkegiatan	O
pada	O
hari-hari	O
kerja	O
,	O
"	O
tegas	O
Agung	U-PERSON
kepada	O
wartawan	O
termasuk	O
Tribunnews.com	O
,	O
di	O
Kompleks	B-LOCATION
Istana	I-LOCATION
Negara	I-LOCATION
,	I-LOCATION
Jakarta	L-LOCATION
,	O
Selasa	B-TIME
(	I-TIME
29	I-TIME
/	I-TIME
1	I-TIME
/	I-TIME
2013	I-TIME
)	L-TIME
.	O

Karena	O
itu	O
,	O
dia	O
meminta	O
agar	O
masyarakat	O
tidak	O
perlu	O
khawatir	O
bahwa	O
Menteri	O
tidak	O
akan	O
fokus	O
berkerja	O
.	O

"	O
Tidak	O
usah	O
khawatir	O
mengganggu	O
kinerja	O
.	O
Sistem	O
ini	O
berjalan	O
kok	O
.	O
Setiap	O
-	O
tiap	O
kementerian	O
berjalan	O
,	O
"	O
dia	O
tegaskan	O
.	O

Kembali	O
dia	O
pastikan	O
,	O
bahwa	O
Partai	O
Golkar	O
pun	O
tidak	O
akan	O
"	O
mengganggu	O
"	O
Kadernya	O
yang	O
di	O
Kabinet	O
untuk	O
urusan	O
Kampanye	O
Pemilu	O
2014	O
.	O

"	O
Partai	O
kami	O
tetap	O
minta	O
bekerja	O
untuk	O
rakyat	O
.	O
Bahkan	O
memicu	O
kami	O
karena	O
ada	O
target	O
-	O
target	O
yang	O
diawasi	O
oleh	O
UKP4	O
,	O
"	O
jelasnya	O
lagi	O
.	O

Sebelumnya	O
,	O
Lingkaran	B-ORGANIZATION
Survei	I-ORGANIZATION
Indoensia	I-ORGANIZATION
(	I-ORGANIZATION
LSI	I-ORGANIZATION
)	L-ORGANIZATION
melakukan	O
survei	O
terkait	O
kinerja	O
Kabinet	O
Indonesia	O
Bersatu	O
(	O
KIB	O
)	O
II	O
memasuki	O
tahun	O
politik	O
.	O

Mayoritas	O
responden	O
khawatir	O
menteri	O
parpol	O
tak	O
lagi	O
fokus	O
bekerja	O
di	O
tahun	O
politik	O
.	O

"	O
Mayoritas	O
publik	O
khawatir	O
pada	O
menteri	O
dari	O
parpol	O
tidak	O
lagi	O
fokus	O
menjalankan	O
tugas	O
di	O
kementerian	O
,	O
"	O
ujar	O
peneliti	O
LSI	U-ORGANIZATION
,	O
Ardian	B-PERSON
Sofa	L-PERSON
,	O
menyampaikan	O
poin	O
kesimpulan	O
survei	O
LSI	U-ORGANIZATION
di	O
Kantor	B-LOCATION
Lingkaran	I-LOCATION
Survei	I-LOCATION
Indonesia	L-LOCATION
di	O
Jl	B-LOCATION
Pramuka	I-LOCATION
,	I-LOCATION
Jakarta	I-LOCATION
Timur	L-LOCATION
,	O
Selasa	B-TIME
(	I-TIME
29	I-TIME
/	I-TIME
1	I-TIME
/	I-TIME
2013	I-TIME
)	L-TIME
.	O

Berdasarkan	O
survei	O
yang	O
dilakukan	O
oleh	O
LSI	U-ORGANIZATION
,	O
sebanyak	O
86,35	B-QUANTITY
persen	L-QUANTITY
responden	O
khawatir	O
menteri	O
dari	O
parpol	O
tak	O
lagi	O
fokus	O
bekerja	O
,	O
sementara	O
10,79	B-QUANTITY
persen	L-QUANTITY
responden	O
percaya	O
para	O
menteri	O
parpol	O
masih	O
bisa	O
bekerja	O
dengan	O
baik	O
.	O

Sementara	O
sebanyak	O
2,86	B-QUANTITY
persen	L-QUANTITY
responden	O
menjawab	O
tidak	O
tahu	O
.	O

Survei	O
dilakukan	O
pada	O
22	B-TIME
-	I-TIME
25	I-TIME
Januari	I-TIME
2013	L-TIME
,	O
dengan	O
motede	O
multistage	O
random	O
sampling	O
dengan	O
1200	B-QUANTITY
responden	L-QUANTITY
yang	O
tersebar	O
di	O
seluruh	O
Indonesia	O
.	O

Wawancara	O
menggunakan	O
metode	O
handset	O
dengan	O
margin	O
error	O
2,9	B-QUANTITY
persen	L-QUANTITY
.	O

Politikus	O
PDI	B-ORGANIZATION
Perjuangan	L-ORGANIZATION
Guruh	B-PERSON
Soekarnoputra	L-PERSON
menjenguk	O
Ketua	O
Umum	O
Partai	O
Gerindra	O
Suhardi	U-PERSON
di	O
Rumah	B-LOCATION
Sakit	I-LOCATION
Pusat	I-LOCATION
Pertamina	I-LOCATION
,	I-LOCATION
Jakarta	I-LOCATION
Pusat	L-LOCATION
.	O

Suhardi	U-PERSON
mengalami	O
sakit	O
kanker	O
paru-paru	O
stadium	O
empat	O
dan	O
dalam	O
kondisi	O
kritis	O
.	O

Guruh	U-PERSON
berbagi	O
sedikit	O
cerita	O
mengenai	O
sosok	O
Suhardi	O
sebagai	O
politikus	O
.	O

"	O
Pak	O
Suhardi	U-PERSON
itu	O
bawaannya	O
kalem	O
.	O
Tenanglah	O
Pak	B-PERSON
Suhardi	L-PERSON
,	O
"	O
kata	O
dia	O
usai	O
menjenguk	O
Suhardi	U-PERSON
di	O
RSPP	B-LOCATION
,	I-LOCATION
Jakarta	L-LOCATION
,	O
Selasa	B-TIME
,	I-TIME
26	I-TIME
Agustus	I-TIME
2014	L-TIME
.	O

Ada	O
satu	O
hal	O
yang	O
paling	O
diingat	O
Guruh	U-PERSON
mengenai	O
guru	O
besar	O
Fakultas	B-ORGANIZATION
Kehutanan	I-ORGANIZATION
Universitas	I-ORGANIZATION
Gadjah	I-ORGANIZATION
Mada	L-ORGANIZATION
itu	O
.	O

Suhardi	U-PERSON
pantang	O
makan	O
makanan	O
yang	O
terbuat	O
dari	O
gandum	O
.	O

"	O
Pak	O
Suhardi	U-PERSON
berpantang	O
untuk	O
makan	O
gandum	O
,	O
roti	O
ataupun	O
mi	O
.	O
Atau	O
apa	O
pun	O
yang	O
terbuat	O
dari	O
gandum	O
,	O
"	O
kata	O
dia	O
tanpa	O
menjelaskan	O
lebih	O
jauh	O
alasannya	O
.	O

Sebelum	O
bergabung	O
di	O
Partai	B-ORGANIZATION
Gerindra	L-ORGANIZATION
dan	O
menjabat	O
sebagai	O
ketua	O
umum	O
,	O
Suhardi	U-PERSON
sibuk	O
sebagai	O
akademikus	O
.	O

Pernah	O
menjabat	O
sebagai	O
Dekan	B-ORGANIZATION
Fakultas	I-ORGANIZATION
Kehutanan	I-ORGANIZATION
UGM	L-ORGANIZATION
,	O
ia	O
meninggalkan	O
sejumlah	O
karya	O
dan	O
pemikiran	O
.	O

Ia	O
juga	O
dikenal	O
di	O
kampus	O
sebagai	O
profesor	O
telo	O
(	O
ketela	O
)	O
karena	O
tidak	O
pernah	O
bosan	O
mengkampanyekan	O
untuk	O
mengkonsumsi	O
bahan	O
pangan	O
lokal	O
tersebut	O
.	O

Sekretaris	O
Kabinet	O
Andi	B-PERSON
Widjajanto	L-PERSON
mengatakan	O
Presiden	O
Joko	B-PERSON
Widodo	L-PERSON
telah	O
memilih	O
politikus	O
Partai	B-ORGANIZATION
NasDem	L-ORGANIZATION
,	O
H.	B-PERSON
M.	L-PERSON

Prasetyo	O
,	O
untuk	O
menjadi	O
Jaksa	O
Agung	O
.	O

Keputusan	O
tersebut	O
diambil	O
Presiden	O
Joko	B-PERSON
Widodo	L-PERSON
pagi	O
tadi	O
.	O

"	O
Benar	O
,	O
Jaksa	O
Agung	O
Prasetyo	U-PERSON
.	O
Tadi	O
pagi	O
(	O
keputusannya	O
)	O
,	O
"	O
kata	O
Andi	U-PERSON
kepada	O
Tempo	U-ORGANIZATION
di	O
Jakarta	U-LOCATION
,	O
Kamis	B-TIME
,	I-TIME
20	I-TIME
November	I-TIME
2014	L-TIME
.	O

Andi	U-PERSON
mengatakan	O
keputusan	O
presiden	O
(	O
keppres	O
)	O
telah	O
disiapkan	O
mengenai	O
pengangkatan	O
Prasetyo	U-PERSON
sebagai	O
Jaksa	O
Agung	O
untuk	O
mengganti	O
Basrief	B-PERSON
Arief	L-PERSON
.	O

"	O
Keppresnya	O
sudah	O
keluar	O
,	O
nomornya	O
nanti	O
saja	O
setelah	O
dilantik	O
,	O
"	O
katanya	O
.	O

Andi	U-PERSON
mengatakan	O
Jokowi	U-PERSON
rencananya	O
melantik	O
Prasetyo	U-PERSON
sebagai	O
Jaksa	O
Agung	O
pada	O
siang	O
ini	O
pukul	O
14.00	U-TIME
di	O
Istana	B-LOCATION
Negara	L-LOCATION
.	O

Prasetyo	U-PERSON
merupakan	O
politikus	O
Partai	B-ORGANIZATION
NasDem	L-ORGANIZATION
yang	O
kini	O
menjadi	O
anggota	O
DPR	U-ORGANIZATION
periode	O
2014	B-TIME
-	I-TIME
2019	L-TIME
,	O
yang	O
terpilih	O
dari	O
daerah	O
pemilihan	O
Jawa	B-LOCATION
Tengah	I-LOCATION
II	L-LOCATION
.	O

Prasetyo	U-PERSON
tak	O
sepenuhnya	O
politikus	O
.	O

Sebelum	O
menjadi	O
anggota	O
Dewan	B-ORGANIZATION
Perwakilan	I-ORGANIZATION
Rakyat	L-ORGANIZATION
,	O
Prasetyo	U-PERSON
juga	O
seorang	O
jaksa	O
.	O

Ia	O
pernah	O
menjabat	O
sebagai	O
Jaksa	O
Agung	O
Muda	O
Pidana	O
Umum	O
tahun	O
2005	B-TIME
-	I-TIME
2006	L-TIME
serta	O
pernah	O
menjadi	O
Kepala	O
Kejaksaan	O
Tinggi	O
Sulawesi	O
Selatan	O
.	O

Selama	O
menjadi	O
jaksa	O
,	O
tak	O
ada	O
rekam	O
jejak	O
yang	O
menonjol	O
dari	O
pria	O
yang	O
diusung	O
oleh	O
Ketua	O
Umum	O
NasDem	O
Surya	B-PERSON
Paloh	L-PERSON
itu	O
.	O

Hal	O
ini	O
membuat	O
kompetensi	O
Prasetyo	U-PERSON
diragukan	O
oleh	O
lembaga-lembaga	O
antikorupsi	O
,	O
seperti	O
Indonesia	B-ORGANIZATION
Corruption	I-ORGANIZATION
Watch	L-ORGANIZATION
.	O

Sebelumnya	O
,	O
selain	O
Prasetyo	U-PERSON
,	O
muncul	O
beberapa	O
nama	O
calon	O
Jaksa	O
Agung	O
,	O
seperti	O
Kepala	B-ORGANIZATION
Pusat	I-ORGANIZATION
Pelaporan	I-ORGANIZATION
dan	I-ORGANIZATION
Analisis	I-ORGANIZATION
Transaksi	I-ORGANIZATION
Keuangan	L-ORGANIZATION
Muhammad	B-PERSON
Yusuf	L-PERSON
,	O
serta	O
dari	O
internal	O
Kejaksaan	U-ORGANIZATION
ada	O
Widyo	B-PERSON
Pramono	L-PERSON
dan	O
Andhi	B-PERSON
Nirwanto	L-PERSON
.	O

Presiden	O
Partai	B-ORGANIZATION
Keadilan	I-ORGANIZATION
Sejahtera	L-ORGANIZATION
Anis	B-PERSON
Matta	L-PERSON
hanya	O
bisa	O
tersenyum	O
ketika	O
ditanya	O
soal	O
pencalonannya	O
sebagai	O
presiden	O
pada	O
Pemilu	O
2014	O
.	O

Saat	O
ini	O
,	O
kata	O
Anis	O
,	O
ia	O
fokus	O
pada	O
pemenangan	O
PKS	U-ORGANIZATION
pada	O
Pemilu	O
Legislatif	O
2014	O
.	O

"	O
Soal	O
calon	O
presiden	O
itu	O
urusan	O
nanti	O
,	O
yang	O
penting	O
menang	O
dulu	O
lah	O
,	O
"	O
kata	O
Anis	U-PERSON
di	O
Samarinda	B-LOCATION
,	I-LOCATION
Kalimantan	I-LOCATION
Timur	L-LOCATION
,	O
Selasa	B-TIME
(	I-TIME
29	I-TIME
/	I-TIME
10	I-TIME
/	I-TIME
2013	I-TIME
)	L-TIME
.	O

Ia	O
menegaskan	O
,	O
PKS	U-ORGANIZATION
belum	O
membahas	O
soal	O
bakal	O
calon	O
presiden	O
pada	O
Pemilu	O
2014	O
.	O

Ia	O
menekankan	O
pentingnya	O
Pemilu	O
Legislatif	O
2014	O
.	O

Pasalnya	O
,	O
perolehan	O
pada	O
tahapan	O
tersebut	O
menentukan	O
apakah	O
PKS	U-ORGANIZATION
dapat	O
mengajukan	O
calon	O
presiden	O
sendiri	O
.	O

Sesuai	O
UU	O
Pemilu	O
Presiden	O
,	O
pasangan	O
calon	O
presiden	O
-	O
calon	O
wakil	O
presiden	O
dapat	O
diajukan	O
oleh	O
partai	O
politik	O
atau	O
gabungan	O
partai	O
politik	O
yang	O
memeroleh	O
20	B-QUANTITY
persen	L-QUANTITY
suara	O
pada	O
pemilu	O
legislatif	O
.	O

Beberapa	O
parpol	O
yang	O
telah	O
mengusung	O
bakal	O
calon	O
presiden	O
adalah	O
,	O
di	O
antaranya	O
,	O
Golkar	U-ORGANIZATION
,	O
PAN	U-ORGANIZATION
,	O
dan	O
Hanura	U-ORGANIZATION
.	O

Ketiga	O
bakal	O
calon	O
presiden	O
itu	O
,	O
masing-masing	O
,	O
Aburizal	B-PERSON
"	I-PERSON
Ical	I-PERSON
"	I-PERSON
Bakrie	L-PERSON
,	O
Hatta	B-PERSON
Rajasa	L-PERSON
,	O
dan	O
Wiranto	U-PERSON
.	O

Kuasa	O
hukum	O
pasangan	O
calon	O
presiden	O
-	O
wakil	O
presiden	O
Prabowo	B-PERSON
Subianto	I-PERSON
-	I-PERSON
Hatta	I-PERSON
Rajasa	L-PERSON
,	O
Firman	B-PERSON
Wijaya	L-PERSON
,	O
mengatakan	O
timnya	O
menggugat	O
Komisi	B-ORGANIZATION
Pemilihan	I-ORGANIZATION
Umum	L-ORGANIZATION
ke	O
Pengadilan	B-ORGANIZATION
Negeri	I-ORGANIZATION
Jakarta	I-ORGANIZATION
Pusat	L-ORGANIZATION
.	O

